1: 1, 50, Colour (Colour (Abstract)), Colour (Colour (Abstract)),     Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)),
2: 2, 40, Colour (Colour (Abstract)), Colour (Colour (Abstract)),     Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)),
3: 1, 30, Colour (Colour (Abstract)), Colour (Colour (Abstract)),     Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)),
4: 2, 15, Colour (Colour (Abstract)), Colour (Colour (Abstract)),     Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)),
5: 1, 15, Colour (Colour (Abstract)), Colour (Colour (Abstract)),     Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)),
6: 2, 15, Colour (Colour (Abstract)), Colour (Colour (Abstract)),     Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)),
7: 1, 15, Colour (Colour (Abstract)), Colour (Colour (Abstract)),     Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)),
8: 2, 30, Colour (Colour (Abstract)), Colour (Colour (Abstract)),     Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)),
9: 1, 40, Colour (Colour (Abstract)), Colour (Colour (Abstract)),     Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)),
0: 2, 50, Colour (Colour (Abstract)), Colour (Colour (Abstract)),     Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)),
q: 1, 10, Colour (Colour (Abstract)), Colour (Colour (Abstract)),     Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)),
